"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","HausDist","DisHausDst","CodeAppar","AspectRatio"
"77390-newSection0ConsolidationDivision-196","246.4171205261217","62.94630830664843","true","33.46392948887997","4","0.45105786850810103","237.6634905640645","773900000D2358","0.6558029029082195"
"77390-0D-2-Densifyed-1614","412.6452806425296","83.07126670977497","true","58.26644333164927","2","0.8719877215505427","5.2277318106682795","773900000D2235","0.5640929815285397"
"77390-0D-1-Densifyed-1614","402.17723187074637","83.72983680147885","true","58.92289247851442","2","0.8877624688374262","5.106946544550235","773900000D2234","0.5972693258036853"
"77390-newSection0ConsolidationDivision-177","327.0745742647199","72.61615147823665","true","38.51767317956069","4","0.7138781817269441","10.076816307751796","773900000D2367","0.6383790206615654"
"77061-newSection0ConsolidationDivision-4","531.6402787234299","104.24681176208257","true","31.799508284917252","3","0.4948589793397138","55.36753417485943","770610000C2062","0.39344711432843765"
"77389-newSection1ConsolidationDivision-23","646.8807219636907","149.4667406877682","true","96.7971354935802","2","0.5067423911706219","33.648884159566386","77389000AK0117","0.31535487194552075"
"77152-newSection0ConsolidationDivision-6","697.8642445103186","142.69906908479715","true","90.55512500488238","2","0.5653361336542024","42.12305146874231","77152000AE0304","0.316631496266971"
"77390-newSection0ConsolidationDivision-26","431.13249615682577","87.30582576245384","true","45.245095615915545","4","0.808546619588479","6.980786735080388","773900000D2356","0.46488211801521045"
"77389-AB-1-Densifyed-0365","1225.9532755031416","138.99405980973032","true","138.95856252587066","1","0.701843941560895","17.946509204631397","77389000AB0983","0.6253533820519075"
"77312-0G-2-Densifyed-0222","801.7194842957742","130.54888038246497","true","67.73159406062065","2","0.9345890161119714","4.259471061062641","773120000G0734","0.994232324802131"
"77222-newSection0ConsolidationDivision-129","568.2120224659922","97.6198080519937","true","50.80061969674041","4","0.3558687924905414","181.14331752248088","77222000AI0392","0.5431236375214995"
"77222-newSection1ConsolidationDivision-3","546.8299244234566","101.06830990162591","true","68.5741015595938","4","0.40127392243401705","135.70350398146957","77222000AK0482","0.5307102712649897"
"77317-newSection0ConsolidationDivision-13","499.4322220036403","96.64466659053235","true","16.978042902678894","7","0.594494193254747","65.3151309605831","773170000A0733","0.4097529053306442"
"77061-newSection2ConsolidationDivision-7","654.9400461041635","117.26356683503376","true","46.13801806723032","6","0.6633854406907145","20.249766672784816","770610000C2042","0.42245648645629463"
"77390-newSection0ConsolidationDivision-85","246.193278311947","62.9197274323369","true","33.450675703260075","4","0.3661492412451183","274.42452524631744","773900000D2358","0.6554631878752437"
"77390-newSection0ConsolidationDivision-320","246.19327832398494","62.919727434196176","true","16.61751068306289","6","0.2996237419337089","303.2266183465446","773900000D2358","0.6554631878535292"
"77390-newSection3ConsolidationDivision-4","371.6568723394527","78.6579111938938","true","51.035536549317726","3","0.4735068956966276","36.27638096338467","77390000AD0125","0.9983788540545965"
"77152-newSection0ConsolidationDivision-27","320.65338320203693","182.6143132607247","true","176.30602244036172","2","NA","NA","NA","0.062431959670578435"
"77222-newSection0ConsolidationDivision-175","501.17724189590047","99.34512657658348","true","16.081577745604317","6","0.7146048730796007","15.390041702158646","77222000AI0369","0.3679011786218506"
"77390-newSection0ConsolidationDivision-35","343.6612394105947","74.45090410016107","true","39.216150917260194","4","0.5401286096419278","22.525119987912486","773900000D2370","0.6412905449097861"
"77152-AW-4-Densifyed-0425","341.6503657755111","94.76173089103256","true","89.3590421208237","2","0.5237967346397487","30.214969994864035","77152000AW0508","0.2584694350251627"
"77217-newSection2ConsolidationDivision-10","684.9272718115446","107.03162637447846","true","23.2564076306218","4","0.6697979470164716","21.184247783804583","772170000C0867","0.5385362479879224"
"77390-newSection0ConsolidationDivision-16","246.41712048243312","62.94630830072899","true","33.46396203741052","4","0.4364021958612049","244.00863719793517","773900000D2358","0.9999999999882299"
"77337-newSection0ConsolidationDivision-33","201.04534778454794","66.99269372651165","true","30.068988122855302","4","0.08975612053225379","324.1226610992533","77337000AC0233","0.3913573653294424"
