"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","HausDist","DisHausDst","CodeAppar","AspectRatio"
"77222-AI-0389","236.39839999686427","75.14022110670584","true","19.991697186191708","3","NA","NA","NA","0.26052943460437633"
"77285-BL-0515","1599.4124000046036","196.39754145433045","true","131.43037501694187","2","NA","NA","NA","0.3837713278271108"
"77312-AK-1047","5.815500000369386","12.249292124472607","true","3.179841793584657","3","NA","NA","NA","0.2299821899209003"
"77317-AB-0689","299.4047000012882","69.92092519675452","true","20.377976570729068","4","NA","NA","NA","0.559961733803136"
"77337-AC-0254","239.66659999450584","70.88773783547435","true","11.027478358806828","4","NA","NA","NA","0.3911227685486389"
"77222-AI-0233","1368.8620000074695","185.74304854666767","true","170.0436321071519","2","NA","NA","NA","0.23996068976288246"
"77389-AI-0151","827.6775499921333","120.48101990742404","true","56.75234417858648","4","NA","NA","NA","0.692350448151673"
"77217-ZH-0110","1482.6889500044283","208.9160841787936","true","194.80486549257458","3","NA","NA","NA","0.19578068108853963"
"77285-BY-0288","2862.977549995114","238.66215847883075","true","63.18846678568104","8","NA","NA","NA","0.43694644342134287"
"77337-AH-0145","57.376049999678905","31.49542408563514","true","12.037242902685245","4","NA","NA","NA","0.49468137699823517"
"77285-BR-0203","685.9670500019846","169.15843188122125","true","112.05072894002295","2","NA","NA","NA","0.4819337107105642"
"77390-AL-0378","122.12729999405954","53.84515969551485","true","24.346051797492258","5","NA","NA","NA","0.3961833685397396"
"77243-AK-0357","287.9277499986198","86.45450383165992","true","79.87408017701483","2","NA","NA","NA","0.2484048594324889"
"77243-BE-0532","890.7449999985553","173.69148082780453","true","67.47323213574074","8","NA","NA","NA","0.158201235505283"
"77222-AI-0344","232.02359999859164","71.80008724242705","true","10.464140331280829","4","NA","NA","NA","0.9999384358718464"
"77152-AW-0488","411.41340000322344","91.57488002673021","true","57.05627137390874","3","NA","NA","NA","0.3589220850989263"
"77061-0A-0998","36.12580000028205","24.61056695906411","true","14.543105057662888","4","NA","NA","NA","0.5592431273745583"
"77312-AH-0919","1660.244050003666","162.9941272236586","true","85.04834761029417","6","NA","NA","NA","0.6632324503297268"
"77217-0B-1580","1004.5785500217612","140.41127951698516","true","44.03106740408556","4","NA","NA","NA","0.37012375914520435"
"77152-AB-0428","745.3025000083696","110.2259400704667","true","61.89790119686626","3","NA","NA","NA","0.5307849300790107"
"77389-AB-0982","602.4627500003567","103.17797821995931","true","71.50439732802148","2","NA","NA","NA","0.4677110491761156"
"77217-0B-1694","149.21115000049224","58.762211980406526","true","8.33917121989109","4","NA","NA","NA","0.2735382914838542"
"77217-0D-1135","497.29660000857456","94.36237606117996","true","35.771481549910064","4","NA","NA","NA","0.4514864691656433"
"77243-AP-0271","355.2553999988989","88.59652847017438","true","44.164072904705336","3","NA","NA","NA","0.33480448049987105"
"77312-AH-0959","75.97225000394486","41.277862163436595","true","20.726635979091462","3","NA","NA","NA","0.5072442124489623"
"77243-AI-0315","1369.057750007782","165.4341498282947","true","144.46953433484038","2","NA","NA","NA","0.3499232021580714"
"77152-AB-0425","120.22264999948864","49.246710584708296","true","20.897663618138928","6","NA","NA","NA","0.34085898800322756"
"77312-0E-0464","1407.6391999973391","169.8280112140827","true","81.69902693265156","4","NA","NA","NA","0.9119397947420204"
"77243-BE-0498","108.81275000065938","84.01302557265545","false","0.0","6","NA","NA","NA","0.09024473731573543"
"77390-AD-0129","256.0894999935852","85.20176202903521","true","16.097094411878814","4","NA","NA","NA","0.3049124383749924"
"77390-0D-2290","333.6439499985137","77.56540930268478","true","15.15423221899685","6","NA","NA","NA","0.48201930291671957"
"77061-AD-0156","628.8406000101548","101.84775538759692","true","57.78677828294648","2","NA","NA","NA","0.6250541633061096"
"77152-AC-0267","577.2394999944775","113.74787569537818","true","102.90325081840095","2","NA","NA","NA","0.2882264804670115"
